価	〔亻西・ELx・sì〕
侢	〔亻一冂土・EFQH・dài〕
侣	〔亻口口・EKKv・lǚ〕
侤	〔亻耂丂・EHSk・ta〕
侥	〔亻七丿兀・EGWO・jiǎo|yáo〕
侦	〔亻⺊贝・EUFb・zhēn〕
侧	〔亻贝刂・EFOd・cè|zè|zhāi〕
侨	〔亻夭{介下}・EHRj・qiáo〕
侩	〔亻人二厶・EUAD・kuài〕
侪	〔亻文{介下}・EERj・chái〕
侫	〔亻亡女・EUWn・nìng〕
侬	〔亻冖{衣下}・EOSi・nóng〕
侭	〔亻尸乀⺀・ETIA・jǐn〕
侮	〔亻{乞上}母・EGQm・wǔ〕
侯	〔亻コ矢・EEMs・hóu|hòu〕
侰	〔亻彐丿口・EVWK・jiǒng〕
侱	〔亻口王・EKYw・chěng|tǐng〕
侲	〔亻辰・ELc・zhèn|zhēn|chēn〕
侳	〔亻人人土・EUUH・zuò〕
侴	〔人一丑刂・UFEO・chǒu〕
侵	〔亻彐冖又・EVOD・qīn|qǐn〕
侶	〔亻口{囟框}・EKOv・lǚ〕
侷	〔亻尸乛口・ETOK・jú〕
侸	〔亻一口䒑・EFKL・shù|dōu〕
侹	〔亻壬廴・ENGi・tǐng〕
侺	〔亻山人乛・EJUO・shèn〕
侻	〔亻丷口儿・ELKE・tuì|tuō〕
侼	〔亻十冖子・EROL・bó〕
侽	〔亻田力・ESSl・nán〕
侾	〔亻耂子・EHLz・xiāo〕
便	〔亻一日乂・EFJC・biàn|pián|biān〕
俀	〔亻爪女・EVWn・tuǐ〕
俁	〔亻口㇉大・EKTM・yǔ〕
係	〔亻丿糸・EWUs・xì〕
促	〔亻足・EXz・cù|chuò〕
俄	〔亻丿扌戈・EWFK・é〕
俅	〔亻一水丶・EFNI・qiú〕
俆	〔亻人一朩・EUFA・xú|shū〕
俇	〔亻犭王・EQYw・guàng〕
俈	〔亻⺧口・EPKv・kù〕
俉	〔亻一{五下}口・EFKK・wǔ|wú〕
俊	〔亻厶八夊・EDMT・jùn|shùn|dūn〕
俋	〔亻口巴・EKOb・yì〕
俌	〔亻甫・EAf・fǔ〕
俍	〔亻丶艮・EIIg・liáng|lǎng〕
俎	〔人人且・UUEq・zǔ〕
俏	〔亻⺌月・EIYv・qiào|xiào|xiāo〕
俐	〔亻禾刂・EGOd・lì〕
俑	〔亻マ用・EDAi・yǒng〕
俒	〔亻宀一兀・EIFO・hùn〕
俓	〔亻一巛工・EFFN・jìng|yíng〕
俔	〔亻見・EGj・qiàn|xiàn〕
俕	〔亻宀木・EIAm・sàn〕
俖	〔亻不口・ENKv・pěi〕
俗	〔亻八人口・EMUK・sú〕
俘	〔亻爪子・EVLz・fú〕
俙	〔亻乂ナ巾・ECXR・xī〕
俚	〔亻里・EEl・lǐ|lì〕
俛	〔亻⺈口儿・EOKE・fǔ|miǎn〕
俜	〔亻由丂・EUSk・pīng〕
保	〔亻口木・EKAm・bǎo〕
俞	〔人一月刂・UFYO・yú|shù〕
俟	〔亻厶矢・EDMs・qí|sì〕
俠	〔亻大人人・EMUU・xiá〕
信	〔亻言・ERi・xìn|shēn〕
俢	〔亻夊彡・ETWs・xiū〕
俣	〔亻口一大・EKFM・yǔ〕
俤	〔亻丷弓丿・ELJW・dì〕
俥	〔亻車・EXc・chē|jū〕
俦	〔亻丰寸・EQHc・chóu〕
俧	〔亻士心・EHNx・zhì〕
俨	〔亻一业丿・EFVW・yǎn〕
俩	〔亻一冂人・EFQU・liǎ|liǎng〕
俪	〔亻一{冂丶}{冂丶}・EFQQ・lì〕
俫	〔亻一米・EFTm・lái〕
俬	〔亻禾厶・EGDm・sī〕
俭	〔亻人一{兴上}・EUFI・jiǎn〕
修	〔亻丨夊彡・ELTW・xiū〕
俯	〔亻广亻寸・EUEH・fǔ〕
俰	〔亻禾口・EGKv・huò〕
俱	〔亻{具上}八・EEMb・jù|jū〕
俲	〔亻亠八力・ERMS・xiào〕
俳	〔亻非・EFf・pái〕
俴	〔亻戈戈・EKKg・jiàn〕
俵	〔亻龶{衣下}・EHSi・biào〕
俶	〔亻上小又・EOID・chù|shū|tì〕
俷	〔亻月巴・EYOb・fèi〕
俸	〔亻𡗗{奉下}・EMAk・fèng|běng〕
