㑇	〔㑇・(㑳)〕
孪	〔孪・(孿)・孿〕
孽	〔孽・[孼]〕
宁	〔宁・(寧)[寕甯]・寧〕
它	〔它・[牠]・牠〕
宝	〔宝・(寶)[寳]・寶〕
实	〔实・(實)[寔]・實〕
宠	〔宠・(寵)・寵〕
审	〔审・(審)・審〕
宪	〔宪・(憲)・憲〕
宴	〔宴・[醼讌]〕
家	〔家・(家|傢)・傢〕
宽	〔宽・(寬)・寬〕
宾	〔宾・(賓)・賓〕
宿	〔宿・[㝛]〕
寇	〔寇・[𭁵𡨥]〕
寓	〔寓・[庽]〕
寝	〔寝・(寢)[寑]・寢〕
察	〔察・[詧]〕
寨	〔寨・[砦]〕
对	〔对・(對)・對〕
寻	〔寻・(尋)[𡬶]・尋〕
导	〔导・(導)・導〕
寿	〔寿・(壽)・壽〕
射	〔射・[䠶]〕
将	〔将・(將)・將〕
尔	〔尔・(爾)[尒]・爾〕
尘	〔尘・(塵)・塵〕
尝	〔尝・(嘗)[甞嚐]・嘗〕
尧	〔尧・(堯)・堯〕
尴	〔尴・(尷)・尷〕
尸	〔尸・[屍]〕
尽	〔尽・(盡|儘)・盡|儘〕
局	〔局・[侷跼]〕
层	〔层・(層)・層〕
屃	〔屃・(屓)〕
届	〔届・[屆]〕
属	〔属・(屬)・屬〕
屡	〔屡・(屢)・屢〕
屦	〔屦・(屨)・屨〕
屿	〔屿・(嶼)・嶼〕
岁	〔岁・(歲)[嵗]・歲〕
岂	〔岂・(豈)・豈〕
岖	〔岖・(嶇)・嶇〕
岗	〔岗・(崗)・崗〕
岘	〔岘・(峴)・峴〕
岚	〔岚・(嵐)・嵐〕
岛	〔岛・(島)[㠀]・島〕
岩	〔岩・[嵒巗巖]・巖〕
岭	〔岭・(嶺)・嶺〕
岳	〔岳・[嶽]・嶽〕
岸	〔岸・[㟁]〕
岽	〔岽・(崬)・崬〕
岿	〔岿・(巋)・巋〕
峃	〔峃・(嶨)・嶨〕
峄	〔峄・(嶧)・嶧〕
峒	〔峒・[峝]〕
峡	〔峡・(峽)・峽〕
峣	〔峣・(嶢)・嶢〕
峤	〔峤・(嶠)・嶠〕
峦	〔峦・(巒)・巒〕
峨	〔峨・[峩]〕
峭	〔峭・[陗]〕
峰	〔峰・[峯]〕
崂	〔崂・(嶗)・嶗〕
崃	〔崃・(崍)・崍〕
