较	(較)
顿	(頓)
毙	(斃)[獘]
致	(致|緻)
桌	[槕]
虑	(慮)
监	(監)
紧	(緊)[𦂳𦃂]
党	(党|黨)
晒	(曬)
晓	(曉)
唠	(嘮)
鸭	(鴨)
晃	[㨪]
晕	(暈)
蚊	[螡蟁]
恩	[㤙]
鸯	(鴦)
罢	(罷)
峭	[陗]
峨	[峩]
峰	[峯]
圆	(圓)
贼	(賊)
贿	(賄)
赂	(賂)
赃	(贜)
钱	(錢)
钳	(鉗)
钻	(鑽)[鑚]
钾	(鉀)
铁	(鐵)
铃	(鈴)
铅	(鉛)[鈆]
牺	(犧)
乘	[乗椉]
敌	(敵)
积	(積)
称	(稱)
秘	[祕]
笔	(筆)
笑	[咲]
笋	[筍]
债	(債)
借	(借|藉)
倾	(傾)
赁	(賃)
俯	[俛頫]
倦	[勌]
射	[䠶]
躬	[躳]
殷	[慇]
舰	(艦)
舱	(艙)
拿	[拏㧱挐]
耸	(聳)
爱	(愛)
颁	(頒)
颂	(頌)
脆	[脃]
胸	[胷]
胳	[肐]
脏	(臟|髒)
脐	(臍)
胶	(膠)
脑	(腦)
脓	(膿)
狸	[貍]
鸵	(鴕)
留	[𤱊㽞畱]
鸳	(鴛)
皱	(皺)
饿	(餓)
馁	(餒)
凄	[淒悽]
恋	(戀)
桨	(槳)
浆	(漿)
席	[蓆]
准	(准|準)
症	(症|癥)
斋	(齋)[亝]
效	[効傚]
离	(離)
资	(資)[貲]
凉	[涼]
竞	(競)
阅	(閲)
瓶	[缾]
烦	(煩)
烧	(燒)
烛	(燭)
烟	[菸煙]
递	(遞)
涛	(濤)
浙	[淛]
涝	(澇)
涡	(渦)
涂	(涂|塗)
涤	(滌)
润	(潤)
涧	(澗)
涨	(漲)
烫	(燙)
涩	(澀)[澁濇]
涌	[湧]
悖	[誖]
悍	[猂]
悯	(憫)
宽	(寬)
家	(家|傢)
宴	[醼讌]
宾	(賓)
窍	(竅)
请	(請)
诸	(諸)
诺	(諾)
读	(讀)
诽	(誹)
袜	(襪)[韈韤]
课	(課)
冥	[𠖇㝠]
谁	(誰)
调	(調)
冤	[𡨘寃]
谅	(諒)
谆	(諄)
谈	(談)
谊	(誼)
恳	(懇)
剧	(劇)
娘	[孃]
难	(難)
预	(預)
桑	[桒]
绢	(絹)
绣	(綉)[繡]
验	(驗)[騐]
继	(繼)
骏	(駿)
球	[毬]
琐	(瑣)[𤨏]
琉	[瑠璢]
琅	[瑯]
捷	[㨗]
捶	[搥]
掏	[搯]
掷	(擲)
据	(据|據)[|㨿]
掺	(摻)
职	(職)
菱	[蔆]
萝	(蘿)
萤	(螢)
营	(營)
萧	(蕭)
萨	(薩)
梦	(夢)
婪	[惏]
梅	[楳槑]
检	(檢)
救	[捄]
酝	(醖)
厢	[廂]
戚	[慽慼]
硕	(碩)
聋	(聾)
袭	(襲)
辅	(輔)
辆	(輛)
颅	(顱)
眯	[瞇]
悬	(懸)
野	[埜𡐨]
跃	(躍)
略	[畧]
蛇	[虵]
累	(累|纍)
啰	(囉)
啸	(嘯)
崭	(嶄)[嶃]
逻	(邏)
婴	(嬰)
铐	(銬)
铛	(鐺)
铝	(鋁)
铜	(銅)
铭	(銘)
铲	(鏟)[剷]
银	(銀)
矫	(矯)
秸	[稭]
梨	[棃]
犁	[犂]
秽	(穢)
移	[迻]
笼	(籠)
偿	(償)
偷	[媮]
躯	(軀)
兜	[兠]
假	[叚]
衅	(釁)
衔	(銜)[啣衘]
盘	(盤)
船	[舩]
鸽	(鴿)
敛	(斂)[歛]
